RowName,WaveCount,SpawnTime,EnemyType,BaseHp,BaseSpeed,StatMultiplier
Wave1_01,1,0.25,Melee,150,100,0
Wave1_02,1,0.37,Ranged,100,80,0
Wave1_03,1,2.97,Melee,150,100,0
Wave2_01,2,0.02,Melee,150,100,0
Wave2_02,2,0.02,Ranged,100,80,0
Wave2_03,2,0.04,Melee,150,100,0
Wave2_04,2,0.14,Ranged,100,80,0
Wave2_05,2,1.61,Melee,150,100,0
Wave2_06,2,2.1,Ranged,100,80,0
Wave3_01,3,0.01,Melee,150,100,1
Wave3_02,3,0.26,Ranged,100,80,1
Wave3_03,3,0.28,Melee,150,100,1
Wave3_04,3,0.63,Ranged,100,80,1
Wave3_05,3,1.39,Melee,150,100,1
Wave3_06,3,1.64,Ranged,100,80,1
Wave3_07,3,1.67,Melee,150,100,1
Wave3_08,3,2.01,Ranged,100,80,1
Wave3_09,3,2.06,Melee,150,100,1
Wave4_01,4,0.11,Melee,150,100,1
Wave4_02,4,0.18,Ranged,100,80,1
Wave4_03,4,0.93,Melee,150,100,1
Wave4_04,4,0.98,Ranged,100,80,1
Wave4_05,4,1.45,Melee,150,100,1
Wave4_06,4,2.97,Ranged,100,80,1
Wave4_07,4,3.36,Melee,150,100,1
Wave4_08,4,3.53,Ranged,100,80,1
Wave4_09,4,3.71,Melee,150,100,1
Wave4_10,4,4.2,Ranged,100,80,1
Wave4_11,4,4.28,Melee,150,100,1
Wave4_12,4,4.7,Ranged,100,80,1
Wave5_01,5,0.04,Melee,150,100,1
Wave5_02,5,0.07,Ranged,100,80,1
Wave5_03,5,0.22,Melee,150,100,1
Wave5_04,5,0.31,Ranged,100,80,1
Wave5_05,5,0.56,Melee,150,100,1
Wave5_06,5,0.77,Ranged,100,80,1
Wave5_07,5,1.17,Melee,150,100,1
Wave5_08,5,1.36,Ranged,100,80,1
Wave5_09,5,1.48,Melee,150,100,1
Wave5_10,5,2.22,Ranged,100,80,1
Wave5_11,5,2.45,Melee,150,100,1
Wave5_12,5,3.53,Ranged,100,80,1
Wave5_13,5,3.93,Melee,150,100,1
Wave5_14,5,4.94,Ranged,100,80,1
Wave5_15,5,5.39,Melee,150,100,1
Wave6_01,6,0,Melee,150,100,2
Wave6_02,6,0.03,Ranged,100,80,2
Wave6_03,6,0.05,Melee,150,100,2
Wave6_04,6,0.07,Ranged,100,80,2
Wave6_05,6,0.36,Melee,150,100,2
Wave6_06,6,1.41,Ranged,100,80,2
Wave6_07,6,2.13,Melee,150,100,2
Wave6_08,6,2.41,Ranged,100,80,2
Wave6_09,6,2.72,Melee,150,100,2
Wave6_10,6,3.34,Ranged,100,80,2
Wave6_11,6,3.81,Melee,150,100,2
Wave6_12,6,3.92,Ranged,100,80,2
Wave6_13,6,4.04,Melee,150,100,2
Wave6_14,6,4.07,Ranged,100,80,2
Wave6_15,6,4.91,Melee,150,100,2
Wave6_16,6,5.16,Ranged,100,80,2
Wave6_17,6,5.54,Melee,150,100,2
Wave6_18,6,5.76,Ranged,100,80,2
Wave7_01,7,0.05,Melee,150,100,2
Wave7_02,7,0.12,Ranged,100,80,2
Wave7_03,7,0.13,Melee,150,100,2
Wave7_04,7,0.15,Ranged,100,80,2
Wave7_05,7,0.18,Melee,150,100,2
Wave7_06,7,0.36,Ranged,100,80,2
Wave7_07,7,0.49,Melee,150,100,2
Wave7_08,7,0.59,Ranged,100,80,2
Wave7_09,7,0.62,Melee,150,100,2
Wave7_10,7,0.72,Ranged,100,80,2
Wave7_11,7,0.75,Melee,150,100,2
Wave7_12,7,0.89,Ranged,100,80,2
Wave7_13,7,1.4,Melee,150,100,2
Wave7_14,7,1.55,Ranged,100,80,2
Wave7_15,7,2.18,Melee,150,100,2
Wave7_16,7,2.27,Ranged,100,80,2
Wave7_17,7,2.6,Melee,150,100,2
Wave7_18,7,3.48,Ranged,100,80,2
Wave7_19,7,3.5,Melee,150,100,2
Wave7_20,7,5.16,Ranged,100,80,2
Wave7_21,7,6.25,Melee,150,100,2
Wave8_01,8,0,Melee,150,100,2
Wave8_02,8,0.01,Ranged,100,80,2
Wave8_03,8,0.08,Melee,150,100,2
Wave8_04,8,0.17,Ranged,100,80,2
Wave8_05,8,0.24,Melee,150,100,2
Wave8_06,8,0.42,Ranged,100,80,2
Wave8_07,8,0.56,Melee,150,100,2
Wave8_08,8,0.59,Ranged,100,80,2
Wave8_09,8,1.04,Melee,150,100,2
Wave8_10,8,1.83,Ranged,100,80,2
Wave8_11,8,1.99,Melee,150,100,2
Wave8_12,8,2.22,Ranged,100,80,2
Wave8_13,8,2.23,Melee,150,100,2
Wave8_14,8,2.47,Ranged,100,80,2
Wave8_15,8,2.76,Melee,150,100,2
Wave8_16,8,2.77,Ranged,100,80,2
Wave8_17,8,2.79,Melee,150,100,2
Wave8_18,8,3.46,Ranged,100,80,2
Wave8_19,8,3.83,Melee,150,100,2
Wave8_20,8,4.13,Ranged,100,80,2
Wave8_21,8,5.29,Melee,150,100,2
Wave8_22,8,5.32,Ranged,100,80,2
Wave8_23,8,5.6,Melee,150,100,2
Wave8_24,8,6.49,Ranged,100,80,2
Wave9_01,9,0.01,Melee,150,100,3
Wave9_02,9,0.03,Ranged,100,80,3
Wave9_03,9,0.05,Melee,150,100,3
Wave9_04,9,0.15,Ranged,100,80,3
Wave9_05,9,0.16,Melee,150,100,3
Wave9_06,9,0.16,Ranged,100,80,3
Wave9_07,9,0.18,Melee,150,100,3
Wave9_08,9,0.25,Ranged,100,80,3
Wave9_09,9,0.39,Melee,150,100,3
Wave9_10,9,0.51,Ranged,100,80,3
Wave9_11,9,0.59,Melee,150,100,3
Wave9_12,9,1.32,Ranged,100,80,3
Wave9_13,9,1.34,Melee,150,100,3
Wave9_14,9,1.48,Ranged,100,80,3
Wave9_15,9,1.68,Melee,150,100,3
Wave9_16,9,1.72,Ranged,100,80,3
Wave9_17,9,2.15,Melee,150,100,3
Wave9_18,9,2.63,Ranged,100,80,3
Wave9_19,9,3.49,Melee,150,100,3
Wave9_20,9,4.13,Ranged,100,80,3
Wave9_21,9,4.14,Melee,150,100,3
Wave9_22,9,4.4,Ranged,100,80,3
Wave9_23,9,4.91,Melee,150,100,3
Wave9_24,9,5.06,Ranged,100,80,3
Wave9_25,9,5.37,Melee,150,100,3
Wave9_26,9,5.93,Ranged,100,80,3
Wave9_27,9,7.08,Melee,150,100,3
Wave10_01,10,0.02,Melee,150,100,3
Wave10_02,10,0.03,Ranged,100,80,3
Wave10_03,10,0.03,Melee,150,100,3
Wave10_04,10,0.03,Ranged,100,80,3
Wave10_05,10,0.07,Melee,150,100,3
Wave10_06,10,0.11,Ranged,100,80,3
Wave10_07,10,0.17,Melee,150,100,3
Wave10_08,10,0.42,Ranged,100,80,3
Wave10_09,10,0.49,Melee,150,100,3
