RowName,WaveCount,SpawnTime,EnemyType,BaseHp,BaseSpeed,StatMultiplier
Wave1_01,1,0.5,Melee,150,100,0
Wave1_02,1,1,Melee,150,100,0
Wave1_03,1,1.3,Ranged,100,80,0
Wave1_04,1,1.5,Ranged,100,80,0
Wave1_05,1,1.7,Melee,150,100,0
Wave2_01,2,0.3,Melee,150,100,0
Wave2_02,2,0.5,Melee,150,100,0
Wave2_03,2,0.7,Ranged,100,80,0
Wave2_04,2,1.2,Ranged,100,80,0
Wave2_05,2,1.5,Ranged,100,80,0
Wave2_06,2,2,Ranged,100,80,0
Wave3_01,3,0,Melee,150,100,1
Wave3_02,3,0,Melee,150,100,1
Wave3_03,3,0.5,Melee,150,100,1
Wave3_04,3,0.7,Melee,150,100,1
Wave3_05,3,0.8,Melee,150,100,1
Wave3_06,3,1.5,Melee,150,100,1
Wave3_07,3,2,Melee,150,100,1
Wave3_08,3,2.2,Ranged,100,80,1
Wave3_09,3,2.3,Ranged,100,80,1
Wave3_10,3,2.7,Ranged,100,80,1
Wave3_11,3,2.8,Ranged,100,80,1
Wave3_12,3,2.9,Ranged,100,80,1
Wave3_13,3,3,Ranged,100,80,1
