RowName,WaveCount,SpawnTime,EnemyType,BaseHp,BaseSpeed,StatMultiplier
Wave1_01,1,1.64,Melee,150,100,0
Wave1_02,1,2.4,Ranged,100,80,0
Wave1_03,1,3,Melee,150,100,0
Wave2_01,2,1.77,Melee,150,100,0
Wave2_02,2,2.59,Ranged,100,80,0
Wave2_03,2,3.23,Melee,150,100,0
Wave2_04,2,3.79,Ranged,100,80,0
Wave2_05,2,4.28,Melee,150,100,0
Wave3_01,3,2.08,Melee,150,100,1
Wave3_02,3,3.04,Ranged,100,80,1
Wave3_03,3,3.8,Melee,150,100,1
Wave3_04,3,4.45,Ranged,100,80,1
Wave3_05,3,5.03,Melee,150,100,1
Wave3_06,3,5.56,Ranged,100,80,1
Wave4_01,4,2.18,Melee,150,100,1
Wave4_02,4,3.19,Ranged,100,80,1
Wave4_03,4,3.99,Melee,150,100,1
Wave4_04,4,4.67,Ranged,100,80,1
Wave4_05,4,5.28,Melee,150,100,1
Wave4_06,4,5.84,Ranged,100,80,1
Wave4_07,4,6.36,Melee,150,100,1
Wave4_08,4,6.84,Ranged,100,80,1
Wave5_01,5,2.43,Melee,150,100,1
Wave5_02,5,3.55,Ranged,100,80,1
Wave5_03,5,4.44,Melee,150,100,1
Wave5_04,5,5.2,Ranged,100,80,1
Wave5_05,5,5.88,Melee,150,100,1
Wave5_06,5,6.5,Ranged,100,80,1
Wave5_07,5,7.07,Melee,150,100,1
Wave5_08,5,7.61,Ranged,100,80,1
Wave5_09,5,8.12,Melee,150,100,1
Wave6_01,6,2.51,Melee,150,100,2
Wave6_02,6,3.68,Ranged,100,80,2
Wave6_03,6,4.6,Melee,150,100,2
Wave6_04,6,5.39,Ranged,100,80,2
Wave6_05,6,6.09,Melee,150,100,2
Wave6_06,6,6.74,Ranged,100,80,2
Wave6_07,6,7.33,Melee,150,100,2
Wave6_08,6,7.89,Ranged,100,80,2
Wave6_09,6,8.42,Melee,150,100,2
Wave6_10,6,8.92,Ranged,100,80,2
Wave6_11,6,9.4,Melee,150,100,2
Wave7_01,7,2.61,Melee,150,100,2
Wave7_02,7,3.81,Ranged,100,80,2
Wave7_03,7,4.77,Melee,150,100,2
Wave7_04,7,5.59,Ranged,100,80,2
Wave7_05,7,6.31,Melee,150,100,2
Wave7_06,7,6.98,Ranged,100,80,2
Wave7_07,7,7.6,Melee,150,100,2
Wave7_08,7,8.18,Ranged,100,80,2
Wave7_09,7,8.72,Melee,150,100,2
Wave7_10,7,9.24,Ranged,100,80,2
Wave7_11,7,9.74,Melee,150,100,2
Wave7_12,7,10.22,Ranged,100,80,2
Wave7_13,7,10.68,Melee,150,100,2
Wave8_01,8,2.8,Melee,150,100,2
Wave8_02,8,4.1,Ranged,100,80,2
Wave8_03,8,5.13,Melee,150,100,2
Wave8_04,8,6,Ranged,100,80,2
Wave8_05,8,6.79,Melee,150,100,2
Wave8_06,8,7.5,Ranged,100,80,2
Wave8_07,8,8.17,Melee,150,100,2
Wave8_08,8,8.79,Ranged,100,80,2
Wave8_09,8,9.38,Melee,150,100,2
Wave8_10,8,9.94,Ranged,100,80,2
Wave8_11,8,10.47,Melee,150,100,2
Wave8_12,8,10.99,Ranged,100,80,2
Wave8_13,8,11.48,Melee,150,100,2
Wave8_14,8,11.96,Ranged,100,80,2
Wave9_01,9,2.88,Melee,150,100,3
Wave9_02,9,4.22,Ranged,100,80,3
Wave9_03,9,5.27,Melee,150,100,3
Wave9_04,9,6.18,Ranged,100,80,3
Wave9_05,9,6.98,Melee,150,100,3
Wave9_06,9,7.72,Ranged,100,80,3
Wave9_07,9,8.4,Melee,150,100,3
Wave9_08,9,9.04,Ranged,100,80,3
Wave9_09,9,9.65,Melee,150,100,3
Wave9_10,9,10.22,Ranged,100,80,3
Wave9_11,9,10.77,Melee,150,100,3
Wave9_12,9,11.3,Ranged,100,80,3
Wave9_13,9,11.81,Melee,150,100,3
Wave9_14,9,12.3,Ranged,100,80,3
Wave9_15,9,12.78,Melee,150,100,3
Wave9_16,9,13.24,Ranged,100,80,3
Wave10_01,10,3.06,Melee,150,100,3
Wave10_02,10,4.47,Ranged,100,80,3
Wave10_03,10,5.59,Melee,150,100,3
Wave10_04,10,6.55,Ranged,100,80,3
Wave10_05,10,7.41,Melee,150,100,3
Wave10_06,10,8.19,Ranged,100,80,3
Wave10_07,10,8.91,Melee,150,100,3
Wave10_08,10,9.59,Ranged,100,80,3
Wave10_09,10,10.23,Melee,150,100,3
Wave10_10,10,10.84,Ranged,100,80,3
Wave10_11,10,11.43,Melee,150,100,3
Wave10_12,10,11.99,Ranged,100,80,3
Wave10_13,10,12.53,Melee,150,100,3
Wave10_14,10,13.05,Ranged,100,80,3
Wave10_15,10,13.55,Melee,150,100,3
Wave10_16,10,14.04,Ranged,100,80,3
Wave10_17,10,14.52,Melee,150,100,3
Wave11_01,11,3.13,Melee,150,100,3
Wave11_02,11,4.58,Ranged,100,80,3
Wave11_03,11,5.72,Melee,150,100,3
Wave11_04,11,6.71,Ranged,100,80,3
Wave11_05,11,7.58,Melee,150,100,3
Wave11_06,11,8.38,Ranged,100,80,3
Wave11_07,11,9.12,Melee,150,100,3
Wave11_08,11,9.82,Ranged,100,80,3
Wave11_09,11,10.48,Melee,150,100,3
Wave11_10,11,11.1,Ranged,100,80,3
Wave11_11,11,11.7,Melee,150,100,3
Wave11_12,11,12.27,Ranged,100,80,3
Wave11_13,11,12.82,Melee,150,100,3
Wave11_14,11,13.36,Ranged,100,80,3
Wave11_15,11,13.87,Melee,150,100,3
Wave11_16,11,14.38,Ranged,100,80,3
Wave11_17,11,14.86,Melee,150,100,3
Wave11_18,11,15.34,Ranged,100,80,3
Wave11_19,11,15.8,Melee,150,100,3
Wave12_01,12,3.2,Melee,150,100,4
Wave12_02,12,4.69,Ranged,100,80,4
Wave12_03,12,5.86,Melee,150,100,4
Wave12_04,12,6.86,Ranged,100,80,4
Wave12_05,12,7.76,Melee,150,100,4
Wave12_06,12,8.58,Ranged,100,80,4
Wave12_07,12,9.33,Melee,150,100,4
Wave12_08,12,10.05,Ranged,100,80,4
Wave12_09,12,10.72,Melee,150,100,4
Wave12_10,12,11.36,Ranged,100,80,4
Wave12_11,12,11.97,Melee,150,100,4
Wave12_12,12,12.56,Ranged,100,80,4
Wave12_13,12,13.12,Melee,150,100,4
Wave12_14,12,13.67,Ranged,100,80,4
Wave12_15,12,14.19,Melee,150,100,4
Wave12_16,12,14.71,Ranged,100,80,4
Wave12_17,12,15.21,Melee,150,100,4
Wave12_18,12,15.69,Ranged,100,80,4
Wave12_19,12,16.17,Melee,150,100,4
Wave12_20,12,16.63,Ranged,100,80,4
Wave12_21,12,17.08,Melee,150,100,4
Wave13_01,13,3.35,Melee,150,100,4
